file_path,line,matched_text,classification
data/metadata/alma_observation_inventory.csv,1,"archive_system,proposal_id,target_name,member_ous_uid,group_ous_uid,asdm_uid,schedblock_name,scan_intent,science_observation,start_time_utc,end_time_utc,t_exptime_seconds,pwv_mm,spatial_resolution_arcsec,spatial_scale_max_arcsec,antenna_arrays,archive_query_url,datalink_url,readme_url,product_tar_ur",grain-size occurrence
data/metadata/alma_observation_inventory.csv,2,"ALMA Science Archive,2013.1.00588.S,J0132-1654,uid://A001/X121/X3b7,uid://A001/X121/X3b6,uid://A002/X9707f1/Xa89,tau_Ceti_a_06_TE,PHASE WVR,False,2014-12-15T01:45:52.646,2014-12-15T02:36:35.482,241.92,1.7174779,1.0164643434148313,10.666112845840544,A001:DA58 A002:DV16 A003:DV21 A004:DV24 A005:DV25 A",fixed 20 um substitution
data/metadata/alma_observation_inventory.csv,3,"ALMA Science Archive,2013.1.00588.S,J0137-2430,uid://A001/X121/X3b7,uid://A001/X121/X3b6,uid://A002/X9707f1/Xa89,tau_Ceti_a_06_TE,BANDPASS WVR,False,2014-12-15T01:35:07.238,2014-12-15T01:40:27.178,302.4,1.7174779,0.9962037016091547,10.208735293149553,A001:DA58 A002:DV16 A003:DV21 A004:DV24 A005:DV25",fixed 20 um substitution
data/metadata/alma_observation_inventory.csv,4,"ALMA Science Archive,2013.1.00588.S,Uranus,uid://A001/X121/X3b7,uid://A001/X121/X3b6,uid://A002/X9707f1/Xa89,tau_Ceti_a_06_TE,AMPLI FLUX WVR,False,2014-12-15T01:42:59.414,2014-12-15T01:45:39.168,151.2,1.7174779,1.1041411577770304,11.168348523063756,A001:DA58 A002:DV16 A003:DV21 A004:DV24 A005:DV25 A",fixed 20 um substitution
data/metadata/alma_observation_inventory.csv,5,"ALMA Science Archive,2013.1.00588.S,tau_Ceti,uid://A001/X121/X3b7,uid://A001/X121/X3b6,uid://A002/X9707f1/Xa89,tau_Ceti_a_06_TE,TARGET,True,2014-12-15T01:47:04.963,2014-12-15T02:35:52.022,2388.96,1.7174779,1.0112126314406369,10.57048080117417,A001:DA58 A002:DV16 A003:DV21 A004:DV24 A005:DV25 A006:DA",fixed 20 um substitution
data/metadata/alma_observation_inventory.csv,6,"ALMA Science Archive,2013.1.00588.S,J0132-1654,uid://A001/X121/X3b9,uid://A001/X121/X3b6,uid://A002/X8602fa/X509f,tau_Ceti_a_06_7M,PHASE,False,2014-07-07T09:25:25.306,2014-07-16T11:52:43.939,665.28,1.8,4.97057215084133,29.99525982166911,J501:CM10 J502:CM02 J503:CM03 J504:CM12 J506:CM05 N601:CM07 N60",fixed 20 um substitution
data/metadata/alma_observation_inventory.csv,7,"ALMA Science Archive,2013.1.00588.S,J0137-2430,uid://A001/X121/X3b9,uid://A001/X121/X3b6,uid://A002/X8602fa/X509f,tau_Ceti_a_06_7M,BANDPASS,False,2014-07-07T09:06:08.410,2014-07-16T10:45:42.970,1209.6,1.8,4.9741009260510225,31.11824463190317,J501:CM10 J502:CM02 J503:CM03 J504:CM12 J506:CM05 N601:CM0",fixed 20 um substitution
data/metadata/alma_observation_inventory.csv,8,"ALMA Science Archive,2013.1.00588.S,Uranus,uid://A001/X121/X3b9,uid://A001/X121/X3b6,uid://A002/X8602fa/X509f,tau_Ceti_a_06_7M,AMPLI FLUX,False,2014-07-07T09:20:06.749,2014-07-16T10:55:12.259,302.4,1.8,5.286933961007162,31.129781436068843,J501:CM10 J502:CM02 J503:CM03 J504:CM12 J506:CM05 N601:CM07 N",fixed 20 um substitution
data/metadata/alma_observation_inventory.csv,9,"ALMA Science Archive,2013.1.00588.S,tau_Ceti,uid://A001/X121/X3b9,uid://A001/X121/X3b6,uid://A002/X8602fa/X509f,tau_Ceti_a_06_7M,TARGET,True,2014-07-07T09:27:26.006,2014-07-16T11:51:24.970,3170.706,1.8,4.990331203671441,30.457111782054522,J501:CM10 J502:CM02 J503:CM03 J504:CM12 J506:CM05 N601:CM07 N",fixed 20 um substitution
data/metadata/raw/alma_tap_tau_ceti.csv,1,"proposal_id,target_name,member_ous_uid,group_ous_uid,asdm_uid,schedblock_name,scan_intent,science_observation,t_min,t_max,t_exptime,pwv,spatial_resolution,spatial_scale_max,antenna_arrays",grain-size occurrence
